,時間,本文
49,2023-02-03 23:58:12+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
50,2023-02-03 23:58:09+09:00,"RT @opon_no_ko: 日テレさん…
なぜにここをカットした…
ベケット卿の美しい最後の死に様を…
これを見るために見ていたようなものなのに…笑
カットの判断をくだした人に
パイレーツ好きは激おこです( ･᷄ὢ･᷅ )
#パイレーツ・オブ・カリビアン
#パイレーツオブカ…"
51,2023-02-03 23:58:08+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
52,2023-02-03 23:58:07+09:00,パイレーツオブカリビアン見てたけど、シーンカットされていたのね
53,2023-02-03 23:58:06+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
54,2023-02-03 23:58:06+09:00,RT @NIKAIDO_KIJI: ここでベケット卿が攻撃命令を出せなかったのは、気が動転したせいって言われてるけど、「海賊艦隊との総当たり戦闘は、損害過多＝会社の利益に反する」という、AIみたいなパラドックス判断でフリーズしたのも、理由にあるらしいのよね(英語版fandom)…
55,2023-02-03 23:58:06+09:00,"ちょっと待って。10年後エリザベスと子供がウィルお父さんを迎えにゆくシーンカットされてる？あれすっごく大事なシーンなのになんで？ありえない。
#パイレーツオブカリビアン"
56,2023-02-03 23:58:05+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
57,2023-02-03 23:58:04+09:00,"パイレーツオブカリビアンに学ぶ交渉術……

だいぶ上級者向けだな🤔"
58,2023-02-03 23:58:03+09:00,"RT @sabfeua: 『パイレーツ・オブ・カリビアン/デッドマンズ・チェスト』

バルボッサが階段から降りてくるラストシーンは、出演者全員がバルボッサが登場してくるということを知らされていなかったため、このシーンでは役者たちが驚いている本当のリアクションを楽しむことができま…"
59,2023-02-03 23:57:56+09:00,"結論:パイレーツオブカリビアンは円盤かディズニープラスでしっかり見ましょう

円盤持ってるしディズニープラスも入ってる私より。"
60,2023-02-03 23:57:56+09:00,"RT @hiratapro: ★独りゆっくり円盤を観るのもいいけど、公式さんの蘊蓄を読みながらみんなと一緒に観るパイレーツはやっぱ楽しいね～💃

収録の記憶も色々甦ったし、ジャックはいつまでも大事なキャラクターです。

3週に渡ってお付き合いありがとうございました。

#金曜ロ…"
61,2023-02-03 23:57:56+09:00,"なんだろな、映画館で観た時はノリントンの最期に何の感情も抱かなかったのに今日は辛かったんだが。ホンマ歳をとると涙脆くなる。でも推しは変わらずバルボッサです。
(※パイレーツオブカリビアン)"
62,2023-02-03 23:57:55+09:00,"とりあえず金ロー見ました。
パイレーツオブカリビアン好き。"
63,2023-02-03 23:57:50+09:00,"RT @hiratapro: ★独りゆっくり円盤を観るのもいいけど、公式さんの蘊蓄を読みながらみんなと一緒に観るパイレーツはやっぱ楽しいね～💃

収録の記憶も色々甦ったし、ジャックはいつまでも大事なキャラクターです。

3週に渡ってお付き合いありがとうございました。

#金曜ロ…"
64,2023-02-03 23:57:47+09:00,"RT @sabfeua: 『パイレーツ・オブ・カリビアン/デッドマンズ・チェスト』

バルボッサが階段から降りてくるラストシーンは、出演者全員がバルボッサが登場してくるということを知らされていなかったため、このシーンでは役者たちが驚いている本当のリアクションを楽しむことができま…"
65,2023-02-03 23:57:46+09:00,"RT @HitUltra: やっぱり金ローの事だから編集が甘いんだよな…
10年後にウィルとエリザベスとその息子が会うシーンなかったか…

多分、５作目の地上波初放送の可能性は低いかな…
(なお、可能性は０と言いきれない)
#パイレーツオブカリビアン #パイレーツ・オブ・カリビ…"
66,2023-02-03 23:57:45+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
67,2023-02-03 23:57:43+09:00,https://t.co/A2Zy6LPHo4  #ホスト #パイレーツオブカリビアン #平均試聴時間 https://t.co/jXbOHOFdms https://t.co/mHWERZ1zUI
68,2023-02-03 23:57:32+09:00,"RT @sayjoy_enjoy: 視聴者の大半がウィルでもエリザベスでもなく結婚の立ち会いをするバルボッサに心を持っていかれるというね

#パイレーツオブカリビアン
＃金曜ロードショー https://t.co/dbb91CwmPc"
69,2023-02-03 23:57:32+09:00,"ジャックとバルボッサも最高だし何よりウィルとエリザベスの物語が最高なんですよ😭😭😭上海ディズニー行かないと🏴‍☠️
#パイレーツオブカリビアン 
#ウィル https://t.co/8vyM6XrK6N"
