,時間,本文
99,2022-11-18 23:56:09+09:00,あなたの番です映画劇場版🎬️観れなかったから📺️で観れて誰が犯人と思ったら刑事だったなんて😱☀️
100,2022-11-18 23:56:08+09:00,"あなたの番です面白かったな
ドラマ見た事ないからそのうち見よ"
101,2022-11-18 23:56:08+09:00,RT @kinro_ntv: プレゼント応募『あなたの番です　劇場版』スペシャル豪華版エディションBlu-ray｜金曜ロードシネマクラブ｜日本テレビ https://t.co/RHjyEtN8S3 #金曜ロード
102,2022-11-18 23:56:07+09:00,やっぱ「あなたの番です」すごいわー
103,2022-11-18 23:56:07+09:00,"劇場版あなたの番です

結論。
エンドロールだけで良かったのでは？
『ななちゃんの生きている世界。』

(動画撮ってたの(撮ってない)黒島ちゃんじゃなくてどーやんだけど)"
104,2022-11-18 23:56:04+09:00,あなたの番です劇場版見てたんだけど、管理人の竹中直人殺したん結局誰？！ってなって頭抱えてる…誰…
105,2022-11-18 23:56:04+09:00,"RT @enaw879sub: ☆11月18日✩.*˚

今日の当選者選んでません‼️

本日の夜抽選で選んで行くのでRT&amp;いいねお願いします。

今日は華金久しぶりに家でゆっくりしてます😮‍💨

あなたの番です見てる方いますか？👀💭"
106,2022-11-18 23:56:00+09:00,あなたの番です観て寝落ちしてたわ
107,2022-11-18 23:56:00+09:00,"【金曜ロードショー】 『あなたの番です 劇場版』神谷刑事役 #浅香航大 の公開当時のインタビューはこちら☞
#あなたの番です劇場版  #あなたの番です 
https://t.co/2SFtg99XsR"
108,2022-11-18 23:55:52+09:00,"RT @enaw879sub: ☆11月18日✩.*˚

今日の当選者選んでません‼️

本日の夜抽選で選んで行くのでRT&amp;いいねお願いします。

今日は華金久しぶりに家でゆっくりしてます😮‍💨

あなたの番です見てる方いますか？👀💭"
109,2022-11-18 23:55:49+09:00,"あなたの番ですを最後1時間くらい見てたけどやっぱり真相が簡単にわからないストーリーというかあな番らしさがあったね
久しぶりに見たけど面白い"
110,2022-11-18 23:55:49+09:00,"あなたの番です 劇場版見たけど、あんまり中身がなく、ちょっと悲しかった。。

映画好きは物足りない。。"
111,2022-11-18 23:55:47+09:00,『あなたの番です　劇場版』最大の謎、マストに括り付けられる死体。どうやってここまで運んだんだよ！ https://t.co/zGe3QOYtg5
112,2022-11-18 23:55:33+09:00,"あなたの番です劇場版おもしろかった
何が1番てななちゃんが生きてる世界が最高であった"
113,2022-11-18 23:55:32+09:00,"あなたの番です

キスはチャクラにして

いい言葉思いついたーて書いたろうな笑"
114,2022-11-18 23:55:32+09:00,RT @kinro_ntv: プレゼント応募『あなたの番です　劇場版』スペシャル豪華版エディションBlu-ray｜金曜ロードシネマクラブ｜日本テレビ https://t.co/RHjyEtN8S3 #金曜ロード
115,2022-11-18 23:55:30+09:00,あなたの番です劇場版！エンドロールのあれはドラマ見てた人にはドキドキだよね……映画館で見た時に動悸激しくなったよ
116,2022-11-18 23:55:29+09:00,"RT @d_mh_t_ik: あなたの番です、公開前の黒島ちゃん(西野七瀬)そりゃこうなるわ
 #あなたの番です劇場版　#金曜日ロードショー https://t.co/1q9IKma51g"
117,2022-11-18 23:55:26+09:00,"はー。見終わった。

結局、愛のドラマだったんだなあ『あなたの番です』。
笑っちゃうくらいありえない展開のミステリーでも、ホラーでもなく。
なんか色々思い出した。"
118,2022-11-18 23:55:25+09:00,"あなたの番です 面白かったです
ラストのシーン一瞬心臓止まりました 笑笑

来週はヴァイオレットエヴァーガーデンみたいですね""(∩&gt;ω&lt;∩)""
楽しみです！"
119,2022-11-18 23:55:25+09:00,あなたの番です結局ラストまで見てしまった…何も進まなかったわ…面白かった
120,2022-11-18 23:55:24+09:00,"あなたの番です見たことなくて
映画見たけど最高だった！！😭😭
マジ予約すればよかった……
最悪……ﾁｸｼｮ…………"
121,2022-11-18 23:55:23+09:00,"RT @a0sW1UnIqG198P7: あなたの番です劇場版見てたんだけど、管理人さんは誰に殺されたん？？？？？出てきてた？？？？
黒島ちゃんなの？？？？

 #あなたの番です劇場版"
122,2022-11-18 23:55:22+09:00,3時間近くあったあなたの番です　面白かった　田中圭くんいいね
123,2022-11-18 23:55:17+09:00,"[黒島ちゃん]に関する関連ニュース！

===
【ネタバレ解説】「あなたの番です 劇場版」ドラマとの違い、オランウータンタイムやブルの意味など【金曜ロードショーで地上波初放送】 - 映画.……
https://t.co/srf9PTBday"
124,2022-11-18 23:55:15+09:00,"あなたの番ですって、もっと金かけた映画作れただろうに、こんな感じだったのね。
複数の制作関係者のポケットにお金が入って、大して現場には渡されなかったんじゃない？？"
125,2022-11-18 23:55:13+09:00,あなたの番ですはドラマも意味わかんなかったし映画もパラレルだしついていけない
126,2022-11-18 23:55:12+09:00,"RT @0820n46: 「あなたの番です」で印象に残ったシーン
1位　指輪をもらう黒島ちゃんを見て、結婚したいと思ってしまったこと

2位　涙を流す黒島ちゃんを抱きしめたくなったこと

3位　もぐもぐするなぁちゃんが可愛すぎたこと

結論:西野七瀬がとにかく可愛い
#西野七瀬…"
127,2022-11-18 23:55:12+09:00,"あなたの番です最後まで観てしまったー！
ポケモン...今からします😅"
128,2022-11-18 23:55:10+09:00,あなたの番です観ながら🏇予想してたんやけど予想に没頭しすぎて結局犯人誰？で終わりました
129,2022-11-18 23:55:08+09:00,"あなたの番です　劇場版

本家による盛大なパロディーかと思ったら

最後はこうなるんですね…

いやー、秋元康さん天才 https://t.co/4t4i7C4GEr"
130,2022-11-18 23:55:02+09:00,"あなたの番です見たあと
どうしてもおっさんずラブ見たくなってしまう"
131,2022-11-18 23:55:01+09:00,"あなたの番です見終わった🥲🥲
とりあえずなぁちゃんが可愛かったんだよ。それだけ。"
132,2022-11-18 23:55:00+09:00,"RT @Y82Q3: お疲れ様でした✨

今夜は…
🚢あなたの番です劇場版 🎥

また黒島ちゃんやどーやんが地上波で観れる🫣

#あなたの番です劇場版 
#あな番 
#西野七瀬 https://t.co/x7wSWsePO8"
133,2022-11-18 23:55:00+09:00,あなたの番です劇場版で初めて見たけどおもろかったし普通に泣く
134,2022-11-18 23:54:52+09:00,あなたの番です劇場版はママンと一緒にスクリーンで見たんだけど最後のななちゃんのシーン死ぬほどドキッとしたからまじほっとして力抜けてジュース零したこと思い出した
135,2022-11-18 23:54:52+09:00,"あなたの番ですにすっかり見入っちゃってて、気づいたらもう0時…。
もうすぐラジオじゃん💦"
136,2022-11-18 23:54:51+09:00,RT @kinro_ntv: プレゼント応募『あなたの番です　劇場版』スペシャル豪華版エディションBlu-ray｜金曜ロードシネマクラブ｜日本テレビ https://t.co/RHjyEtN8S3 #金曜ロード
137,2022-11-18 23:54:50+09:00,あなたの番ですラストでホッとしてからの来週ヴァイオレットだと…！？いつ振りだよ…何回も観に行ったしBlu-rayも買ったけど絶対泣く自信あるわ🥲
138,2022-11-18 23:54:47+09:00,"あなたの番ですの劇場版
想像以上に面白かった！"
139,2022-11-18 23:54:47+09:00,"🎥あなたの番です
最後ドラマト一緒かと思った( ・∇・)
ななちゃん寝てただけ
꒰^ - ¬ - ^꒱zzΖ𓈒𓏸"
140,2022-11-18 23:54:40+09:00,日テレ+「まもなく金曜ロードショー」★あなたの番です 劇場版★[字] https://t.co/2y1IciM1QV
141,2022-11-18 23:54:38+09:00,"ポケモン買ってたとしても、あなたの番です終わってこの時間からは無理だろ明日は午前に起きれたら戸締まり見に行って昼過ぎからマリオカートの地獄耐久なんだよ！！！ってなってる
これを酸っぱい葡萄と言います"
142,2022-11-18 23:54:38+09:00,"今日の金曜ロードショーって『あなたの番です』の劇場版やったん！？
知らんかった…🥺
録画してない…🥺
全部バイトが悪い…()"
143,2022-11-18 23:54:36+09:00,あなたの番です。映画番。面白かった。
144,2022-11-18 23:54:33+09:00,"あなたの番です見入っちゃった🧐

おやすいみん🦋

こちらぜひチェックしてね✅ https://t.co/YWw5VZ090x"
145,2022-11-18 23:54:29+09:00,"RT @enaw879sub: ☆11月18日✩.*˚

今日の当選者選んでません‼️

本日の夜抽選で選んで行くのでRT&amp;いいねお願いします。

今日は華金久しぶりに家でゆっくりしてます😮‍💨

あなたの番です見てる方いますか？👀💭"
