,時間,本文
112,2022-11-11 14:53:50+00:00,"そして、バトンは渡された
良かった！！
森宮さんの独白とか、ご飯のシーンとか、少し省かれていて寂しい…
でもすごく素敵な構成で、映画版も好きになった。
そして梨花さんが圧倒的。
原作知って見るとダメ。泣く。
大切な人と見たい映画だなって思いました❁

親になると、未来が倍になるんだよね。"
113,2022-11-11 14:53:48+00:00,"そしてバトンは渡された。
めっちゃ良かった、、泣いた、、、その👶は2回泣いたけど。
文庫本読みたくなってポチったけど読む時間あるかな、、"
114,2022-11-11 14:53:48+00:00,"タイトル全然違った、
そしてバトンは渡された　です"
115,2022-11-11 14:53:46+00:00,そしてバトンは渡されたの最後の結婚式のシーンでの娘を嫁に出す父親の画でめっちゃ泣いた、違う意味で。自分にはこういう将来がない気がして父親に申し訳なくなっちゃって。
116,2022-11-11 14:53:46+00:00,"ゆるーっとテレビでやってた🎥そしてバトンは渡された観て号泣。笑
家族もんは弱いのよ😭
明日も出勤だけど腫れそう😑
拓実くんも言ってたけど、泣いてストレス発散するとスッキリするタイプ🙋🏻‍♀️"
117,2022-11-11 14:53:45+00:00,"『そしてバトンは渡された』
最後の怒涛の真実ラッシュ(ラッシュって程でもないか)に涙しかけた。
子役の女の子が健気で可愛いすぎてリアルに胸が苦しくなる。。。"
118,2022-11-11 14:53:42+00:00,"そしてバトンは渡された3回目やけど、サイゴンくらい泣いた笑
いつも出て来ない涙袋ができました
ありがとうございます"
119,2022-11-11 14:53:41+00:00,"RT @kinro_ntv: 🎹「そして、バトンは渡された」🍳
📺今夜9時　地上波初放送✨
#永野芽郁 #田中圭 #岡田健史 #稲垣来泉 #朝比奈彩 #安藤裕子 #戸田菜穂 #木野花 #石原さとみ／ #大森南朋 #市村正親 #そしてバトンは渡された https://t.co/q…"
120,2022-11-11 14:53:36+00:00,"そしてバトンは渡された
最初はよく分からない話だなと思ったけど予想外のクライマックスで泣いた。お母さんは優子ちゃんのこと凄く想っててお父さん達がいい人すぎて。これには全世界涙
旅立ちの日に中学の卒業式歌ったな、懐かしい"
121,2022-11-11 14:53:35+00:00,"映画『そして、バトンは渡された』
最初は何？この突拍子もない感じ！？と思いながら観てたけど気付いたらポロポロ涙溢していてたくさん泣かされてた、温かい映画でした🥹 https://t.co/YNTdDrZGfV"
