,時間,本文
54,2023-01-13 23:57:36+09:00,"RT @MaroYonebayashi: 以上、質問コーナーでした！
今日いただいた質問は行方がわからなくなって抜けてるかもしれません。
「思い出のマーニー」は2度3度観ても楽しめるように作ってありますので、また観てください！ https://t.co/g1ozOVAzZT"
55,2023-01-13 23:57:35+09:00,"RT @MaroYonebayashi: 以上、質問コーナーでした！
今日いただいた質問は行方がわからなくなって抜けてるかもしれません。
「思い出のマーニー」は2度3度観ても楽しめるように作ってありますので、また観てください！ https://t.co/g1ozOVAzZT"
56,2023-01-13 23:57:29+09:00,初めて思い出のマーニー見たけど思ったほど悪くはなかった
57,2023-01-13 23:57:23+09:00,ヒョン、ヒウォン、ソンユンがイメチェンしてペン達の大反響で大変なことになってんのに私は旦那と飯食って帰ってきてTVで思い出のマーニー見て泣けてる最中に気づいたという。大地震でも起きなかったヤツみたいに置いてけぼりになってるし😓
58,2023-01-13 23:57:13+09:00,"RT @kinro_ntv: 制作初期、『思い出のマーニー』の原作がもともと大好きだった宮﨑駿さんは頻繁に色々な提案をしていたそうです✍🏻。そこで、一度しっかりと宮﨑さんの話を聞く機会をつくったということですが…宮﨑さんのイメージでは舞台は「瀬戸内」👉続く
#金曜ロードショー…"
59,2023-01-13 23:57:12+09:00,"RT @ghibli_world: 宮崎駿監督は『思い出のマーニー』のポスターを初めて見たとき、「今時、金髪の女の子でお客さんの気を引こうなんて古い！」と激怒しています。
その対案として、宮崎監督は同じモチーフで絵を描きました。
https://t.co/8UAv01K9et…"
60,2023-01-13 23:57:11+09:00,RT @IDUKI220505: ラジオ終了！来てくださった方々ありがとうございました！思い出のマーニー見てて聞けなかったよ！って方々はアーカイブをお待ちくださいませい！
61,2023-01-13 23:57:09+09:00,"RT @kinro_ntv: 宮﨑駿監督は、映画を最後まで観ないで10分ぐらいで出て行ってしまうことが多いそうなのですが、西村義明プロデューサーによると『思い出のマーニー』は最後まで観て「麻呂（米林監督）はよく頑張った」と褒めていたそうです😊。👉続く
#金曜ロードショー #思い…"
62,2023-01-13 23:57:08+09:00,思い出のマーニーやってたの多おおおおおおおお！！！！やらかしたあああ！！！！
63,2023-01-13 23:57:04+09:00,見ようと思って見逃し続けていた思い出のマーニーとてもいい作品だった
64,2023-01-13 23:57:02+09:00,"思い出のマーニーの信子と杏奈のやり取りでも、「健康体様」とそうじゃない子の価値観は残酷なほどに明確なのを知ってるからTLの色んな感想にちょい複雑な気分になったな

信子が良い子なのはそうなんだよ、そうなんだけどね"
65,2023-01-13 23:57:02+09:00,"RT @7sPiano: 思い出のマーニー、私の大好きな映画。

大切な人を許すこと、それこそがこの映画の最大のテーマだと思っています。

#思い出のマーニー
#マーニー
#杏奈
#プリシラアーン
#PriscillaNatalieHartranft
#PriscillaAhn…"
66,2023-01-13 23:56:59+09:00,"13日の金曜夜の #ゆりゆりルーム成長中🦖 金曜ロードショーをBGMに、テンション高めのマムアンちゃんグッズどれ買おうか迷っちゃう配信🥭の前半から一転、後半は、BGMの音量上げて思い出のマーニーに感情移入するゆりゆりの綺麗な横顔を静かに鑑賞する配信に🫶
#今日のゆりあ #アプガ２ #島崎友莉亜 https://t.co/dH8YsgPeYi"
67,2023-01-13 23:56:57+09:00,RT @itomida: 思い出のマーニー公開当時、マーニーが百合か百合でないかでフォロワー同士で殴り合いの喧嘩をした記憶があるけど、今思えばそんなことどうでもよくて思い出のマーニーは本当に良い作品なんですよね……あと、マーニーは百合です！！！
68,2023-01-13 23:56:57+09:00,秘密の森のその向こう、めちゃくちゃ観たくなった〜。はよ円盤出してくれ…！！にしても原案思い出のマーニーで良いくらいそうだったんだな。だけど、セリーヌシアマの方が作り方うまい。というか流れが自然というか、私は好きだなーあ
69,2023-01-13 23:56:55+09:00,今金曜ロードショーでやってる思い出のマーニーだけど初めて映画館で見た時後半まではずっと綺麗な景色で世界観が素敵だな、という気持ちでただ見ていたけれども最後の展開で思わずぼろぼろ声を上げて泣いてしまったのを覚えています。そのくらい感動しました。#金曜ロードショー
70,2023-01-13 23:56:51+09:00,RT @m0m0_0ssrr_: 思い出のマーニー、真っ先に思い出すのは「まだマーニーあう！まだまだマーニーあう！」の広告なんだよな。 https://t.co/8yNjbHndm0
71,2023-01-13 23:56:50+09:00,"RT @MaroYonebayashi: 以上、質問コーナーでした！
今日いただいた質問は行方がわからなくなって抜けてるかもしれません。
「思い出のマーニー」は2度3度観ても楽しめるように作ってありますので、また観てください！ https://t.co/g1ozOVAzZT"
72,2023-01-13 23:56:50+09:00,"今日は仕事が終わったら即帰宅。
晩御飯は韓国料理。
チャミスルトクトクで乾杯。
『思い出のマーニー』を観たり、録画していたドラマ『ワタシってサバサバしてるから』を観たり。
丸山礼さんがロバートの秋山さんに見えて仕方ない。
そんな1日。 https://t.co/jtjsQNFGAH"
73,2023-01-13 23:56:46+09:00,"思い出のマーニー、中学生か高校生の時公開か
記憶よりだいぶ新しかったんだな"
74,2023-01-13 23:56:44+09:00,思い出のマーニー初めて観た。すごくよかったな〜 マーニーが誰なのかは登場時からほぼわかってしまったけど…(たぶん考察好きオタクならすぐ気づく) その上でとても素晴らしい構成だったし終盤全部泣けた。百合風味なシーンはドキドキした。俳優さんばかりなのにみんな声の演技自然で上手くてびっくり
75,2023-01-13 23:56:42+09:00,RT @m0m0_0ssrr_: 思い出のマーニー、真っ先に思い出すのは「まだマーニーあう！まだまだマーニーあう！」の広告なんだよな。 https://t.co/8yNjbHndm0
76,2023-01-13 23:56:42+09:00,思い出のマーニー初めてちゃんと見た。見て良かった。
77,2023-01-13 23:56:39+09:00,"こまきshowroom配信 
載せていいのは目だけと言われたのでこちらを
もう何気なくご飯作っていて、経験は人を変えると改めて実感
途中から思い出のマーニーの副音声配信が始まったけど、前のめりなリアクションが見ていて飽きなかった
目の様子が良くなったらお出かけ楽しんできてね

#峰島こまき https://t.co/d9cWpWkPhS"
78,2023-01-13 23:56:36+09:00,"RT @Taylor143always: 『思い出のマーニー』のヒロインは信子

杏奈から「太っちょ豚！」と暴言を吐かれても怒らず両成敗となるように冷静に立ち回るぐう聖っぷり

強がってたけど本当は悲しくて耐えきれず母親に泣きついて甘えるという萌えムーブまでかましてて可愛すぎる…"
79,2023-01-13 23:56:36+09:00,"RT @MaroYonebayashi: 思い出のマーニーはハウルに比べたらとっても地味なお話ですが、杏奈の心に寄り添ってじっくり丁寧に描きました。
この内気な少女の心の中を描くために最高の作画と最高の美術で、ひとつの妥協もなく仕上げることができたことを今でも誇りに思っています。"
80,2023-01-13 23:56:35+09:00,"RT @nagi0467: 釧路根室地区の湿原には本当に「思い出のマーニー」みたいな世界が広がってる
道東においでよ🙌
#思い出のマーニー https://t.co/jBEw8zsRyk"
81,2023-01-13 23:56:34+09:00,@himeri_momiyama おやすみ。今日は、思い出のマーニー見たら泣いた〜。
82,2023-01-13 23:56:32+09:00,"RT @joutaro195: 今日の金ローは思い出のマーニー❣️🥰✨
もし間に合えば、めちゃくちゃくだらない短編漫画投稿するかも…✍️🤣🌸
本当に内容くだらないので間に合ったとしても期待はしないでください！😹(笑)
画像は大昔に描いた落書き(*^^*)
マーニーと杏奈ちゃん、…"
83,2023-01-13 23:56:29+09:00,RT @m0m0_0ssrr_: 思い出のマーニー、真っ先に思い出すのは「まだマーニーあう！まだまだマーニーあう！」の広告なんだよな。 https://t.co/8yNjbHndm0
84,2023-01-13 23:56:28+09:00,思い出のマーニー見て終わって、亡くなったおばあちゃんとマーニーの映画見に行ったこととか、これまでの思い出とか色々思い出してボロ泣きして、やっと落ち着いて今に至る
85,2023-01-13 23:56:25+09:00,RT @Tikuwa_sky: 岸辺露伴、よりによって原作でマーニーじみた奴に会ってるしヘブンズ・ドアーが特攻なので思い出のマーニーは岸辺露伴が介入すると秒で終わる
